GOLD Annotated?	Index	Sentence	Entity	Character Offsets	GOLD Flat Grounding	GOLD Flat Grounding Score	GOLD Concept Grounding	GOLD Concept Score	GOLD Process Grounding	GOLD Process Score	GOLD Property Grounding	GOLD Property Score
	10	Conflict and widespread insecurity impact the humanitarian situation negatively and hamper humanitarian organizations from carrying out their activities in the deep field.	Conflict	Interval(0, 8)	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm_compositional/concept/causal_factor/social_and_political/security/conflict/	1.0000001	wm_compositional/process/conflict/	1.0000001	None	None
	10	Conflict and widespread insecurity impact the humanitarian situation negatively and hamper humanitarian organizations from carrying out their activities in the deep field.	impact	Interval(35, 41)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_information_campaigns_on_explosive_hazards	0.65737665	wm_compositional/concept/causal_factor/social_and_political/security/physical_insecurity	0.85224354	wm_compositional/process/economic/	0.6390533	wm_compositional/property/security	1.0
	11	However, if successful, it should be able to crowd in private sector activity in the future as infrastructure investments are completed and start paying off, Moller said.	start paying off	Interval(140, 156)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/household_income	0.77507216	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.5545551	None	None	None	None
	11	However, if successful, it should be able to crowd in private sector activity in the future as infrastructure investments are completed and start paying off, Moller said.	start paying off	Interval(140, 156)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/household_income	0.77507216	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.5545551	None	None	None	None
	12	The AUC Chairperson regretted that conflicts have created unsafe conditions for the creation of jobs, making it difficult for countries to achieve vibrant economies to create gainful employment.	conflicts	Interval(35, 44)	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm_compositional/concept/causal_factor/social_and_political/security/conflict/	0.8895148	wm_compositional/process/conflict/	0.8895148	None	None
	12	The AUC Chairperson regretted that conflicts have created unsafe conditions for the creation of jobs, making it difficult for countries to achieve vibrant economies to create gainful employment.	unsafe conditions	Interval(58, 75)	wm/concept/causal_factor/health_and_life/living_condition/sanitation_and_hygiene	0.7082726	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/weather_issue/	0.5936185	wm_compositional/process/environment/	0.5493018	None	None
	13	He said it did not contradict African Union policy of no recognition for leaders who take power by force, since both men were taking measures to ensure free and transparent elections.	leaders who take power by force	Interval(73, 104)	wm/concept/causal_factor/interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.7248176	wm_compositional/concept/causal_factor/social_and_political/political/	0.59702873	None	None	None	None
	13	He said it did not contradict African Union policy of no recognition for leaders who take power by force, since both men were taking measures to ensure free and transparent elections.	power	Interval(90, 95)	wm/concept/causal_factor/access/infrastructure_access/electrical	0.7264957	wm_compositional/concept/causal_factor/infrastructure/electrical	0.6811554	None	None	None	None
	14	Below-average demand for labor is also likely to lead to less income from wage labor for agricultural laborers .	Below-average demand for labor	Interval(0, 30)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/	0.85710573	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/labor_market	0.76362807	wm_compositional/process/access/shortage	0.5848539	wm_compositional/property/demand	1.0
	14	Below-average demand for labor is also likely to lead to less income from wage labor for agricultural laborers .	less income from wage labor for agricultural laborers	Interval(57, 110)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/household_income	0.81075364	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/revenue	0.87888277	wm_compositional/process/economic/depreciation	0.57280904	None	None
	15	In Senegal , prices of sorghum and maize remained relatively stable in July and around their year-earlier levels mainly reflecting significant volume of imports , while those of millet generally increased and were higher than in July last year due to the reduced output in 2016 and lower imports .	lower imports	Interval(282, 295)	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	0.7747933	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/goods	0.53268915	wm_compositional/process/economic/export	0.78688836	None	None
	15	In Senegal , prices of sorghum and maize remained relatively stable in July and around their year-earlier levels mainly reflecting significant volume of imports , while those of millet generally increased and were higher than in July last year due to the reduced output in 2016 and lower imports .	imports	Interval(153, 160)	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	1.0	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/goods	0.53268915	wm_compositional/process/economic/export	0.78688836	None	None
	16	" The ability of the drought affected population to meet their own food needs is very , very limited , " World Food Programme ( WFP ) chief for Ethiopia John Aylieff said in Addis Ababa .	the drought	Interval(17, 28)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.9092204	wm_compositional/concept/causal_factor/environment/precipitation/drought	1.0000001	wm_compositional/process/environment/climate_change	0.56830245	None	None
	16	" The ability of the drought affected population to meet their own food needs is very , very limited , " World Food Programme ( WFP ) chief for Ethiopia John Aylieff said in Addis Ababa .	their own food needs	Interval(57, 77)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.8533969	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm_compositional/process/management/development	0.5093856	None	None
	17	KIs reported that this increase may be partly due to greater access to food, which may have increased household resources to spend on purchasing cattle.	this increase	Interval(18, 31)	wm/concept/causal_factor/trend	0.8918436	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/revenue	0.6579353	wm_compositional/process/economic/consumption	0.5818051	None	None
	17	KIs reported that this increase may be partly due to greater access to food, which may have increased household resources to spend on purchasing cattle.	greater access	Interval(53, 67)	wm/concept/causal_factor/access/	0.822906	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm_compositional/process/access/	0.9999998	None	None
	18	UK will do every thing possible toward boosting trade exchange among the African nations, which is slowing down at present due to the current financial crisis, Brown said.	to the current financial crisis, Brown	Interval(127, 165)	wm/concept/causal_factor/crisis_and_disaster/economic/economic_crisis	0.945856	wm_compositional/concept/causal_factor/agriculture/crop	0.56675047	None	None	None	None
	18	UK will do every thing possible toward boosting trade exchange among the African nations, which is slowing down at present due to the current financial crisis, Brown said.	which is slowing down at present due to the current financial crisis, Brown said	Interval(90, 170)	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7686245	None	None	None	None	None	None
	19	Edwards cited aid agencies inside Somalia as saying they remain concerned about landmines and other security threats which are making access extremely dangerous.	other security threats which are making access extremely dangerous	Interval(94, 160)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_information_campaigns_on_explosive_hazards	0.7956879	wm_compositional/concept/causal_factor/social_and_political/security/	1.0000002	wm_compositional/process/conflict/attack	0.56707114	wm_compositional/property/security	1.0
	19	Edwards cited aid agencies inside Somalia as saying they remain concerned about landmines and other security threats which are making access extremely dangerous.	access	Interval(134, 140)	wm/concept/causal_factor/access/	0.9999998	wm_compositional/concept/causal_factor/social_and_political/humanitarian/basic_services	0.5957159	wm_compositional/process/access/	0.9999998	None	None
	20	These groups that were beneficiaries of the system during the times of the military rule have been searching for means to destabilize the country in response to their defeat in the battle field and the subsequent loss of political power.	their defeat in the battle field	Interval(161, 193)	wm/concept/causal_factor/social_and_political/conflict/attack	0.7079063	wm_compositional/concept/causal_factor/social_and_political/security/conflict/war	0.6248707	wm_compositional/process/conflict/attack	0.54614544	None	None
	20	These groups that were beneficiaries of the system during the times of the military rule have been searching for means to destabilize the country in response to their defeat in the battle field and the subsequent loss of political power.	for means to destabilize the country in response to their defeat in the battle field	Interval(109, 193)	wm/concept/causal_factor/social_and_political/conflict/war	0.74186146	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide moving of houseHolds	0.60510373	wm_compositional/process/migration/migration	0.553626	None	None
	21	Prepare for and respond to other humanitarian shocks - natural disasters , conflict restore livelihoods reduce morbidity due to drought and acute food .	acute food	Interval(140, 150)	wm/concept/causal_factor/crisis_and_disaster/famine	0.8324186	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm_compositional/process/economic/consumption	0.5035498	None	None
	21	Prepare for and respond to other humanitarian shocks - natural disasters , conflict restore livelihoods reduce morbidity due to drought and acute food .	livelihoods	Interval(92, 103)	wm/concept/causal_factor/economic_and_commerce/economic_activity/livelihood/	1.0000004	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/livelihood	0.6308247	wm_compositional/process/management/conservation	0.55293226	None	None
	22	"Eight ethnic Oromos and three Amharas were killed in the Buno Bedele zone of the Oromia region in violence perpetrated by bodies that are trying to sabotage the peace building process that we are embarking on, " Addis Arega, spokesman of the Oromia region, said in a Facebook post.	bodies that are trying to sabotage the peace building process that we are embarking on	Interval(123, 209)	wm/concept/causal_factor/interventions/construction_of_infrastructure/building_long_term_roads	0.7532985	wm_compositional/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.51018316	None	None	None	None
	22	"Eight ethnic Oromos and three Amharas were killed in the Buno Bedele zone of the Oromia region in violence perpetrated by bodies that are trying to sabotage the peace building process that we are embarking on, " Addis Arega, spokesman of the Oromia region, said in a Facebook post.	to sabotage the peace building process that we are embarking on	Interval(146, 209)	wm/concept/causal_factor/interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.73457664	wm_compositional/concept/causal_factor/social_and_political/security/conflict/war	0.58045	None	None	None	None
	23	Koicas Suh said his team is looking into a project that can bring an educational radio program to the Addis Abba area within this year.	Koicas Suh said his team is looking into a project that can bring an educational radio program to the Addis Abba area within this year	Interval(0, 134)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.7723624	None	None	None	None	None	None
	23	Koicas Suh said his team is looking into a project that can bring an educational radio program to the Addis Abba area within this year.	an educational radio program	Interval(66, 94)	wm/concept/causal_factor/social_and_political/educational/	0.79221916	wm_compositional/concept/causal_factor/entity/organization	0.63713384	wm_compositional/process/training	0.52278215	None	None
	24	But most migrants in the camp have made their way to Calais because they want to reach Britain, and make regular attempts to sneak aboard trucks or trains bound for the UK.	their way to Calais because they want to reach Britain, and make regular attempts to sneak aboard trucks or trains	Interval(40, 154)	wm/concept/causal_factor/access/infrastructure_access/road_access	0.74622244	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.71213484	wm_compositional/process/migration/immigration	0.55913603	None	None
	24	But most migrants in the camp have made their way to Calais because they want to reach Britain, and make regular attempts to sneak aboard trucks or trains bound for the UK.	most migrants in the camp have made their way to Calais because they want to reach Britain, and make regular attempts to sneak aboard trucks or trains	Interval(4, 154)	wm/concept/causal_factor/health_and_life/basic_needs	0.7968499	wm_compositional/concept/causal_factor/infrastructure/construction_materials	0.5265348	None	None	None	None
	25	Uganda s draft climate change policy is supported by an implementation strategy that costs $258 million per year compared with current public spending in the region of $25 million per year.	strategy	Interval(71, 79)	wm/concept/causal_factor/economic_and_commerce/economic_activity/competition	0.5950139	wm_compositional/concept/causal_factor/infrastructure/	0.59147805	wm_compositional/process/management/development	0.6008238	None	None
	25	Uganda s draft climate change policy is supported by an implementation strategy that costs $258 million per year compared with current public spending in the region of $25 million per year.	policy	Interval(30, 36)	wm/concept/causal_factor/social_and_political/government/regulation	0.86624277	wm_compositional/concept/causal_factor/environment/climate_change	1.0	wm_compositional/process/migration/migration	0.6461778	None	None
	26	It's very hard to go and take a picture of a field of crops that's dying and compel people to give money, " said Cabot Venton, an independent consultant who has worked extensively with aid agencies in Ethiopia.	compel people to give money	Interval(77, 104)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_work	0.7577282	wm_compositional/concept/causal_factor/social_and_political/political/sanction	0.57862675	None	None	None	None
	26	It's very hard to go and take a picture of a field of crops that's dying and compel people to give money, " said Cabot Venton, an independent consultant who has worked extensively with aid agencies in Ethiopia.	people to give money	Interval(84, 104)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_work	0.7905301	wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide cash	0.6850431	wm_compositional/process/migration/immigration	0.534149	None	None
	27	1 The framework suggests that, households resource endowments are the basic poverty reducing factors.	the basic poverty reducing factors	Interval(66, 100)	wm/concept/causal_factor/health_and_life/basic_needs	0.7680838	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/economic_crisis/poverty	0.99999994	wm_compositional/process/economic/	0.6394978	None	None
	27	1 The framework suggests that, households resource endowments are the basic poverty reducing factors.	poverty reducing	Interval(76, 92)	wm/concept/causal_factor/economic_and_commerce/poverty	0.7954582	wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/economic_crisis/poverty	0.99999994	wm_compositional/process/economic/	0.6394978	None	None
	28	The respondents further believe that these activities are degrading the lake water quality , shrinking its water volume and decreasing its fish population .	respondents further believe that these activities are degrading the lake water quality	Interval(4, 90)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/point_of_use_water_treatment_at_household_level	0.8044341	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.64065474	wm_compositional/process/migration/immigration	0.507897	None	None
	28	The respondents further believe that these activities are degrading the lake water quality , shrinking its water volume and decreasing its fish population .	water volume	Interval(107, 119)	wm/concept/causal_factor/access/water_access	0.8275608	wm_compositional/concept/causal_factor/environment/natural_resources/water_commodity	0.9322416	wm_compositional/process/environment/pollution	0.5259281	None	None
	29	Natural disaster is also another cause in addition to emerging conflict , shootings , tribal conflicts , police conflicts , boarder conflicts and all that .	Natural disaster	Interval(0, 16)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/	0.99999946	wm_compositional/concept/causal_factor/crisis_and_disaster/	0.91432714	wm_compositional/process/economic/	0.5410418	None	None
	29	Natural disaster is also another cause in addition to emerging conflict , shootings , tribal conflicts , police conflicts , boarder conflicts and all that .	emerging conflict	Interval(54, 71)	wm/concept/causal_factor/social_and_political/conflict/	0.84609944	wm_compositional/concept/causal_factor/social_and_political/security/conflict/	1.0000001	wm_compositional/process/conflict/	1.0000001	None	None
	30	The expert attributed the increment to technical assistance provided to miners and legalization of the activities of gold miners, among others.	technical assistance	Interval(39, 59)	wm/concept/causal_factor/interventions/institutional_support/support_to_veterinary_services	0.73725957	wm_compositional/concept/causal_factor/intervention/humanitarian assistance	0.7837395	wm_compositional/process/access/access	0.5246534	None	None
	30	The expert attributed the increment to technical assistance provided to miners and legalization of the activities of gold miners, among others.	the increment	Interval(22, 35)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/depreciation	0.52086043	None	None	None	None	None	None
	31	The Drought Tolerant Maize for Africa ( DTMA ) Project has contributed to a stronger food system in 13 countries in sub-Saharan Africa , through more than 200 improved maize varieties to help farmers cope with climate change and low-fertility soils through collaboration .	stronger food system in 13 countries in sub-Saharan Africa	Interval(76, 134)	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7813318	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm_compositional/process/management/	0.5494599	None	None
	32	Affected population and affected GDP.	Affected population and affected GDP	Interval(0, 36)	wm/concept/causal_factor/trend	0.7242768	wm_compositional/concept/causal_factor/indicator_and_reported_property/conflict/population displacement	0.81911075	wm_compositional/process/migration/displacement	0.526854	None	None
	32	Affected population and affected GDP.	population	Interval(9, 19)	wm/concept/causal_factor/social_and_political/population_group/population_density	0.9046255	wm_compositional/concept/causal_factor/indicator_and_reported_property/conflict/population displacement	0.81911075	wm_compositional/process/migration/displacement	0.526854	None	None
	33	and flood affected the little harvest is finished people are relying on market and wild .	flood	Interval(4, 9)	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/flooding	0.9666712	wm_compositional/concept/causal_factor/environment/precipitation/flooding	0.9190833	None	None	None	None
	33	and flood affected the little harvest is finished people are relying on market and wild .	the little harvest	Interval(19, 37)	wm/concept/time/temporal/crop_season	0.7068145	wm_compositional/concept/causal_factor/time/temporal/crop season	0.7089591	wm_compositional/process/agriculture/harvesting	0.94100726	None	None
	34	According to a study by researchers at the London School of Economics , cheap natural gas from fracking has boosted US manufacturing exports by around 10 percent .	cheap natural gas from fracking	Interval(72, 103)	wm/concept/causal_factor/environmental/natural_resources/fossil_fuels	0.8396613	wm_compositional/concept/causal_factor/environment/natural_resources/fossil_fuels	0.8422086	wm_compositional/process/environment/emission	0.5165162	None	None
	34	According to a study by researchers at the London School of Economics , cheap natural gas from fracking has boosted US manufacturing exports by around 10 percent .	US manufacturing exports	Interval(116, 140)	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/export/	0.85156715	wm_compositional/concept/causal_factor/health_and_life/basic_needs	0.571996	wm_compositional/process/economic/export	0.8203816	None	None
	35	Ethiopia, Kenya and the African Union all have troops in Somalia helping the government battle the militants.	troops in Somalia helping the government battle	Interval(47, 94)	wm/concept/causal_factor/social_and_political/conflict/war	0.8055117	None	None	None	None	None	None
	35	Ethiopia, Kenya and the African Union all have troops in Somalia helping the government battle the militants.	the government	Interval(73, 87)	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/process/economic/	0.6576553	None	None
	36	Implementing Partners Nutrition, Local Food Procurement, and	Implementing Partners Nutrition, Local Food Procurement	Interval(0, 55)	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_training	0.8006737	wm_compositional/concept/causal_factor/social_and_political/government/regulation	0.590361	wm_compositional/process/management/	0.57508826	None	None
	36	Implementing Partners Nutrition, Local Food Procurement, and	Partners Nutrition, Local Food Procurement	Interval(13, 55)	wm/concept/causal_factor/food_security/food_availability	0.8183977	wm_compositional/concept/causal_factor/intervention/provision of goods and services/nutrition/	0.99999994	None	None	None	None
	37	Since anti-government protests began in November 2015 , the protests were snowballing , practically forcing the regime to struggle for control .	protests	Interval(22, 30)	wm/concept/causal_factor/social_and_political/conflict/demonstrate	0.7964454	wm_compositional/concept/causal_factor/social_and_political/security/conflict/demonstrate	0.79567367	None	None	None	None
	37	Since anti-government protests began in November 2015 , the protests were snowballing , practically forcing the regime to struggle for control .	regime	Interval(112, 118)	wm/concept/causal_factor/social_and_political/political/political_instability	0.7034188	wm_compositional/concept/causal_factor/social_and_political/political/political_instability	0.7105078	None	None	None	None
	38	`` This change in policy is a result of our work with the Ethiopian government , which was focused on enabling these refugees to live outside the camp settings .	Ethiopian government	Interval(58, 78)	wm/concept/causal_factor/social_and_political/government/	0.7359374	wm_compositional/concept/causal_factor/social_and_political/government/	1.0000002	wm_compositional/process/economic/	0.6576553	None	None
	38	`` This change in policy is a result of our work with the Ethiopian government , which was focused on enabling these refugees to live outside the camp settings .	refugees to live	Interval(117, 133)	wm/concept/causal_factor/health_and_life/living_condition/	0.7738412	wm_compositional/concept/causal_factor/condition/living_condition/	1.0000001	None	None	None	None
	39	Relative to having no program benefits, having the PSNP and OFSP/HABP increases food security by 1.505 months; for households receiving the PSNP, the OFSP/HABP provides an increase in food security of 0.818 months.	having the PSNP and OFSP/HABP increases food security by 1.505 months;	Interval(40, 110)	wm/concept/causal_factor/food_security/	0.85565346	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/revenue	0.5221389	wm_compositional/process/economic/consumption	0.5876865	None	None
	39	Relative to having no program benefits, having the PSNP and OFSP/HABP increases food security by 1.505 months; for households receiving the PSNP, the OFSP/HABP provides an increase in food security of 0.818 months.	food security	Interval(80, 93)	wm/concept/causal_factor/food_security/	1.0000006	wm_compositional/concept/causal_factor/social_and_political/security/	1.0000002	wm_compositional/process/access/	0.53205436	wm_compositional/property/security	1.0
	40	By contrast, in Costa Rica, prices of red and black beans declined mainly reflecting improved market supplies as a result of imports.	of imports	Interval(122, 132)	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	1.0	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/goods	0.53268915	wm_compositional/process/economic/export	0.78688836	None	None
	40	By contrast, in Costa Rica, prices of red and black beans declined mainly reflecting improved market supplies as a result of imports.	mainly reflecting improved market supplies as a result of imports.	Interval(67, 133)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/food_demand	0.78619	None	None	None	None	None	None
	41	The declining trend in cattle number per household in the present study and its significant correlation with variation in the long and short rains in the preceding year, suggest that reduction in the rainfall amount and widening rainfall variation drive the downward trend in cattle number in southern Ethiopia.	reduction	Interval(183, 192)	wm/concept/causal_factor/trend	0.6565932	None	None	wm_compositional/process/economic/consumption	0.54081583	None	None
	41	The declining trend in cattle number per household in the present study and its significant correlation with variation in the long and short rains in the preceding year, suggest that reduction in the rainfall amount and widening rainfall variation drive the downward trend in cattle number in southern Ethiopia.	the downward trend	Interval(254, 272)	wm/concept/causal_factor/trend	0.75525427	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/	0.5726625	wm_compositional/process/economic/	0.53271574	wm_compositional/property/trend	1.0
	42	The increase of domestic supplies will also lead to a significant increase in Ethiopian per capita sugar consumption , which is among the lowest in the world .	increase of domestic supplies	Interval(4, 33)	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/supply/food_supply	0.828775	wm_compositional/concept/causal_factor/social_and_political/education/educational_materials	0.66259336	wm_compositional/process/economic/consumption	0.5818051	None	None
