Document,DCT,startOffset,endOffset,text,startInterval,endInterval
Doc3,2017-09-11,5072,5080,seasonal,,
Doc3,2017-09-11,5135,5149,past few weeks,,
Doc3,2017-09-11,5219,5225,weekly,,
Doc3,2017-09-11,5274,5282,seasonal,,
Doc3,2017-09-11,5430,5434,July,2017-07-01T00:00:00,2017-08-01T00:00:00
Doc3,2017-09-11,5522,5534,coming weeks,,
Doc3,2017-09-11,5540,5548,seasonal,,
Doc3,2017-09-11,5603,5610,current,,
Doc3,2017-09-11,5683,5687,July,2017-07-01T00:00:00,2017-08-01T00:00:00
Doc3,2017-09-11,5950,5954,July,2017-07-01T00:00:00,2017-08-01T00:00:00
Doc3,2017-09-11,5971,5985,previous month,2017-08-01T00:00:00,2017-09-01T00:00:00
Doc3,2017-09-11,6274,6297,since the start of July,2017-07-01T00:00:00,2017-09-11T00:00:00
Doc3,2017-09-11,6654,6667,second season,,
Doc3,2017-09-11,6669,6686,July to September,2017-07-01T00:00:00,2017-10-01T00:00:00
Doc3,2017-09-11,6723,6727,July,2017-07-01T00:00:00,2017-08-01T00:00:00
Doc3,2017-09-11,6834,6843,currently,,
Doc3,2017-09-11,7022,7031,long-term,,
Doc3,2017-09-11,7012,7021,short-and,,
Doc3,2017-09-11,7335,7349,next two weeks,2017-09-12T00:00:00,2017-09-26T00:00:00
Doc3,2017-09-11,7644,7650,August,2017-08-01T00:00:00,2017-09-01T00:00:00
Doc3,2017-09-11,7789,7810,earlier in the season,,
Doc3,2017-09-11,7969,7981,post-harvest,,
Doc3,2017-09-11,8041,8045,days,,
Doc3,2017-09-11,8049,8061,coming weeks,,
Doc3,2017-09-11,8135,8144,currently,,
Doc3,2017-09-11,8334,8344,seasonally,,
Doc3,2017-09-11,4835,4847,first season,,
Doc3,2017-09-11,6688,6703,rainfall season,,
Doc3,2017-09-11,7685,7693,seasonal,,
Doc3,2017-09-11,1541,1551,seasonally,,
Doc3,2017-09-11,2646,2654,seasonal,,
