Document,DCT,startOffset,endOffset,text,startInterval,endInterval,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,13207,13211,'Belg',2017-05-01T00:00:00,2017-09-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,13443,13447,'Belg',2017-05-01T00:00:00,2017-09-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,13452,13457,'Meher',2016-09-01T00:00:00,2017-03-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,14725,14730,'Sugum',2017-04-01T00:00:00,2017-06-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,14730,14740,'Karma',2017-06-01T00:00:00,2017-10-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,14782,14788,'Kiremt',2016-06-01T00:00:00,2016-10-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,15051,15057,'Kiremt',2016-06-01T00:00:00,2016-10-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,15207,15220,'Kiremt season',2016-06-01T00:00:00,2016-10-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,15324,15329,'Meher',2016-09-01T00:00:00,2017-03-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,15407,15413,'Kiremt',2016-06-01T00:00:00,2016-10-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,16656,16661,'Meher',2016-09-01T00:00:00,2017-03-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,19014,19018,'Belg',2017-03-01T00:00:00,2017-06-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,19140,19146,'Kiremt',2017-06-01T00:00:00,2017-10-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,19312,19317,'Meher',2016-09-01T00:00:00,2017-03-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,19726,19730,'Belg',2017-03-01T00:00:00,2017-06-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,19735,19741,'Kiremt',2017-06-01T00:00:00,2017-10-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,19929,19940,'lean season',2017-06-01T00:00:00,2017-10-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,20260,20265,'Meher',2016-09-01T00:00:00,2017-03-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,21561,21576,'Gu rainy season',2016-03-01T00:00:00,2016-06-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,21607,21618,'Deyr season',2016-10-01T00:00:00,2017-01-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,21691,21703,'rainy season',2016-03-01T00:00:00,2016-06-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,22028,22041,'Jilaal season',2016-06-01T00:00:00,2016-10-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,23575,23585,'dry season',2017-01-01T00:00:00,2017-04-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,24373,24377,'Deyr',2016-10-01T00:00:00,2017-01-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,24383,24395,'rains season',2016-10-01T00:00:00,2017-01-01T00:00:00,
Ethiopia_Food_Security_Outlook_1-Feb-17,2017-02-01,24423,24440,'Jilaal dry season',2016-06-01T00:00:00,2016-10-01T00:00:00,
