GOLD Annotated?	Index	Sentence	Entity	Character Offsets	Cause/Effect	GOLD Flat Grounding	GOLD Flat Grounding Score	GOLD Concept Grounding	GOLD Concept Score	GOLD Process Grounding	GOLD Process Score	GOLD Property Grounding	GOLD Property Score	Notes	Total annotated:	80
	9	Hailu said that because of the additional work included in the project the cost has escalated to 345 million dollars.	that because of the additional work included in the project the cost has escalated to 345 million dollars	(11,116)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_work	0.8156353	wm/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.68206114	wm/process/migration/migration	0.5460472	None	None	Weird entity		
y	10	Conflict and widespread insecurity impact the humanitarian situation negatively and hamper humanitarian organizations from carrying out their activities in the deep field.	Conflict	(0,8)	cause	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm/process/conflict/	1.0000001	None	None	Need to unindent some stuff in the master Compositional Ontology to keep "conflict" out of "environmental/" branch		
	10	Conflict and widespread insecurity impact the humanitarian situation negatively and hamper humanitarian organizations from carrying out their activities in the deep field.	impact	(35,41)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_information_campaigns_on_explosive_hazards	0.65737665	wm/concept/causal_factor/social_and_political/conflict	0.85224354	None	0.6390533	None	1.0	Entity is the trigger verb		
	11	However, if successful, it should be able to crowd in private sector activity in the future as infrastructure investments are completed and start paying off, Moller said.	start paying off	(140,156)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/household_income	0.77507216	wm/concept/causal_factor/health_and_life/basic_needs	0.5545551	None	None	None	None	vague entity		
	11	However, if successful, it should be able to crowd in private sector activity in the future as infrastructure investments are completed and start paying off, Moller said.	start paying off	(140,156)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/household_income	0.77507216	wm/concept/causal_factor/health_and_life/basic_needs	0.5545551	None	None	None	None	vague entity		
y	12	The AUC Chairperson regretted that conflicts have created unsafe conditions for the creation of jobs, making it difficult for countries to achieve vibrant economies to create gainful employment.	conflicts	(35,44)	cause	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm/concept/causal_factor/social_and_political/conflict/	0.8895148	wm/process/conflict/	0.8895148	None	None	Need to unindent some stuff in the master Compositional Ontology to keep "conflict" out of "environmental/" branch		
y	12	The AUC Chairperson regretted that conflicts have created unsafe conditions for the creation of jobs, making it difficult for countries to achieve vibrant economies to create gainful employment.	unsafe conditions	(58,75)	effect	wm/concept/causal_factor/social_and_political/threat/physical_insecurity	0.7082726	wm/concept/causal_factor/social_and_political/threat/physical_insecurity	0.5936185	None	0.5493018	wm/property/safety	None			
	13	He said it did not contradict African Union policy of no recognition for leaders who take power by force, since both men were taking measures to ensure free and transparent elections.	leaders who take power by force	(73,104)	cause	wm/concept/causal_factor/interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.7248176	wm/concept/causal_factor/social_and_political/political/	0.59702873	None	None	None	None	Needs new node in entity branch?		
y	13	He said it did not contradict African Union policy of no recognition for leaders who take power by force, since both men were taking measures to ensure free and transparent elections.	power	(90,95)	effect	wm/concept/causal_factor/social_and_political/political/political_instability	0.7264957	wm/concept/causal_factor/social_and_political/political/political_instability	0.6811554	None	None	None	None			
y	14	Below-average demand for labor is also likely to lead to less income from wage labor for agricultural laborers .	Below-average demand for labor	(0,30)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/	0.85710573	wm/concept/causal_factor/intervention/institutional_support/protection/capacity_building_human_right	0.76362807	None	0.5848539	wm/property/demand	1.0			
y	14	Below-average demand for labor is also likely to lead to less income from wage labor for agricultural laborers .	less income from wage labor for agricultural laborers	(57,110)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/farmer_income	0.81075364	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/revenue/farmer_income	0.87888277	wm/process/economic/depreciation	0.57280904	None	None			
y	15	In Senegal , prices of sorghum and maize remained relatively stable in July and around their year-earlier levels mainly reflecting significant volume of imports , while those of millet generally increased and were higher than in July last year due to the reduced output in 2016 and lower imports .	lower imports	(282,295)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	0.7747933	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	0.53268915	wm/process/economic/import	0.78688836	wm/property/trend	None			
y	15	In Senegal , prices of sorghum and maize remained relatively stable in July and around their year-earlier levels mainly reflecting significant volume of imports , while those of millet generally increased and were higher than in July last year due to the reduced output in 2016 and lower imports .	imports	(153,160)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	1.0	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	0.53268915	wm/process/economic/import	0.78688836	None	None			
y	16	 The ability of the drought affected population to meet their own food needs is very , very limited ,  World Food Programme ( WFP ) chief for Ethiopia John Aylieff said in Addis Ababa .	the drought	(17,28)	cause	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.9092204	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	1.0000001	None	0.56830245	None	None	Not sure about Process, y/n "climate_change"?		
y	16	 The ability of the drought affected population to meet their own food needs is very , very limited ,  World Food Programme ( WFP ) chief for Ethiopia John Aylieff said in Addis Ababa .	their own food needs	(57,77)	effect	wm/concept/causal_factor/food_security/	0.8533969	wm/concept/causal_factor/entity/food	1.0000001	wm/process/management/development	0.5093856	wm/property/demand, wm/property/insecurity, wm/property/intake	None	Add exemplars to property nodes		
y	17	KIs reported that this increase may be partly due to greater access to food, which may have increased household resources to spend on purchasing cattle.	this increase	(18,31)	cause	wm/concept/causal_factor/trend	0.8918436	None	0.6579353	None	0.5818051	wm/property/trend	None	No clear compositional concept entity		
y	17	KIs reported that this increase may be partly due to greater access to food, which may have increased household resources to spend on purchasing cattle.	greater access	(53,67)	effect	wm/concept/causal_factor/food_security/food_acess	0.822906	wm/concept/causal_factor/entity/food	1.0000001	wm/process/access/	0.9999998	None	None			
y	18	UK will do every thing possible toward boosting trade exchange among the African nations, which is slowing down at present due to the current financial crisis, Brown said.	to the current financial crisis, Brown	(127,165)	cause	wm/concept/causal_factor/crisis_and_disaster/economic/economic_crisis	0.945856	wm/concept/causal_factor/crisis_and_disaster/economic/economic_crisis	0.56675047	None	None	None	None			
	18	UK will do every thing possible toward boosting trade exchange among the African nations, which is slowing down at present due to the current financial crisis, Brown said.	which is slowing down at present due to the current financial crisis, Brown said	(90,170)	effect	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7686245	None	None	None	None	None	None	weird entity		
y	19	Edwards cited aid agencies inside Somalia as saying they remain concerned about landmines and other security threats which are making access extremely dangerous.	other security threats which are making access extremely dangerous	(94,160)	cause	wm/concept/causal_factor/social_and_political/threat/physical_insecurity	0.7956879	wm/concept/causal_factor/social_and_political/threat/physical_insecurity	1.0000002	None	0.56707114	wm/property/insecurity	1.0			
y	19	Edwards cited aid agencies inside Somalia as saying they remain concerned about landmines and other security threats which are making access extremely dangerous.	access	(134,140)	effect	wm/concept/causal_factor/access/	0.9999998	None	0.5957159	wm/process/access/	0.9999998	None	None	vague entity		
y	20	These groups that were beneficiaries of the system during the times of the military rule have been searching for means to destabilize the country in response to their defeat in the battle field and the subsequent loss of political power.	their defeat in the battle field	(161,193)	cause	wm/concept/causal_factor/social_and_political/conflict/attack	0.7079063	wm/concept/causal_factor/social_and_political/conflict/war	0.6248707	wm/process/conflict/attack	0.54614544	None	None	Need more specific node for "defeat" that's not "attack"?		
y	20	These groups that were beneficiaries of the system during the times of the military rule have been searching for means to destabilize the country in response to their defeat in the battle field and the subsequent loss of political power.	for means to destabilize the country in response to their defeat in the battle field	(109,193)	effect	wm/concept/causal_factor/social_and_political/political/political_instability	0.74186146	wm/concept/causal_factor/social_and_political/political/political_instability	0.60510373	None	0.553626	wm/property/instability	None			
	21	Prepare for and respond to other humanitarian shocks - natural disasters , conflict restore livelihoods reduce morbidity due to drought and acute food .	acute food	(140,150)	cause	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/food_insecurity/	0.8324186	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/entity/food	1.0000001	None	0.5035498	None	None	Entity seems cut off		
y	21	Prepare for and respond to other humanitarian shocks - natural disasters , conflict restore livelihoods reduce morbidity due to drought and acute food .	livelihoods	(92,103)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/livelihood/	1.0000004	wm/concept/causal_factor/economic_and_commerce/economic_activity/livelihood	0.6308247	None	0.55293226	wm/property/insecurity	None			
	22	Eight ethnic Oromos and three Amharas were killed in the Buno Bedele zone of the Oromia region in violence perpetrated by bodies that are trying to sabotage the peace building process that we are embarking on,  Addis Arega, spokesman of the Oromia region, said in a Facebook post.	bodies that are trying to sabotage the peace building process that we are embarking on	(123,209)	cause	wm/concept/causal_factor/interventions/construction_of_infrastructure/building_long_term_roads	0.7532985	wm/concept/causal_factor/intervention/institutional support/protection/capacity building human right	0.51018316	None	None	None	None	weird entity		
y	22	Eight ethnic Oromos and three Amharas were killed in the Buno Bedele zone of the Oromia region in violence perpetrated by bodies that are trying to sabotage the peace building process that we are embarking on,  Addis Arega, spokesman of the Oromia region, said in a Facebook post.	to sabotage the peace building process that we are embarking on	(146,209)	effect	wm/concept/causal_factor/social_and_political/conflict/hostility	0.73457664	wm/concept/causal_factor/social_and_political/conflict/hostility	0.58045	None	None	None	None			
	23	Koicas Suh said his team is looking into a project that can bring an educational radio program to the Addis Abba area within this year.	Koicas Suh said his team is looking into a project that can bring an educational radio program to the Addis Abba area within this year	(0,134)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_work	0.7723624	None	None	None	None	None	None	Weird entity		
	23	Koicas Suh said his team is looking into a project that can bring an educational radio program to the Addis Abba area within this year.	an educational radio program	(66,94)	effect	wm/concept/causal_factor/social_and_political/educational/	0.79221916	wm/concept/causal_factor/entity/organization	0.63713384	wm/process/training	0.52278215	None	None	New node in entity branch?		
	24	But most migrants in the camp have made their way to Calais because they want to reach Britain, and make regular attempts to sneak aboard trucks or trains bound for the UK.	their way to Calais because they want to reach Britain, and make regular attempts to sneak aboard trucks or trains	(40,154)	cause	wm/concept/causal_factor/access/infrastructure_access/road_access	0.74622244	wm/concept/causal_factor/health_and_life/basic_needs	0.71213484	wm/process/migration/immigration	0.55913603	None	None	Weird entity		
	24	But most migrants in the camp have made their way to Calais because they want to reach Britain, and make regular attempts to sneak aboard trucks or trains bound for the UK.	most migrants in the camp have made their way to Calais because they want to reach Britain, and make regular attempts to sneak aboard trucks or trains	(4,154)	effect	wm/concept/causal_factor/health_and_life/basic_needs	0.7968499	wm/concept/causal_factor/infrastructure/construction_materials	0.5265348	None	None	None	None	Weird entity		
	25	Uganda s draft climate change policy is supported by an implementation strategy that costs $258 million per year compared with current public spending in the region of $25 million per year.	strategy	(71,79)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/competition	0.5950139	wm/concept/causal_factor/infrastructure/	0.59147805	wm/process/management/development	0.6008238	None	None	New node for "strategy"?		
y	25	Uganda s draft climate change policy is supported by an implementation strategy that costs $258 million per year compared with current public spending in the region of $25 million per year.	policy	(30,36)	effect	wm/concept/causal_factor/social_and_political/government/regulation	0.86624277	wm/concept/causal_factor/social_and_political/government/regulation	1.0	None	0.6461778	None	None	Keep "climate_change" for process? The policy is ABOUT climate change, but isn't undergoing climate change		
y	26	It's very hard to go and take a picture of a field of crops that's dying and compel people to give money, " said Cabot Venton, an independent consultant who has worked extensively with aid agencies in Ethiopia.	compel people to give money	(77,104)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	0.7577282	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.57862675	None	None	None	None	Make sure "cash_transfer" actually includes donations		
y	26	It's very hard to go and take a picture of a field of crops that's dying and compel people to give money, " said Cabot Venton, an independent consultant who has worked extensively with aid agencies in Ethiopia.	people to give money	(84,104)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	0.7905301	wm/concept/causal_factor/economic_and_commerce/economic_activity/currency	0.6850431	None	0.534149	None	None			
y	27	1 The framework suggests that, households resource endowments are the basic poverty reducing factors.	the basic poverty reducing factors	(66,100)	cause	wm/concept/causal_factor/economic_and_commerce/poverty	0.7680838	wm/concept/causal_factor/economic_and_commerce/poverty	0.99999994	None	0.6394978	None	None	New process for "reduction"?		
y	27	1 The framework suggests that, households resource endowments are the basic poverty reducing factors.	poverty reducing	(76,92)	effect	wm/concept/causal_factor/economic_and_commerce/poverty	0.7954582	wm/concept/causal_factor/economic_and_commerce/poverty	0.99999994	None	0.6394978	None	None	New process for "reduction"?		
y	28	The respondents further believe that these activities are degrading the lake water quality , shrinking its water volume and decreasing its fish population .	respondents further believe that these activities are degrading the lake water quality	(4,90)	cause	wm/concept/causal_factor/health_and_life/living_condition/water_safety, wm/concept/causal_factor/environmental/natural_resources/water_bodies	0.8044341	wm/concept/causal_factor/environmental/natural_resources/water_bodies	0.64065474	None	0.507897	None	None	Weird entity. Add "degrading" as exemplar for property "quality"?		
y	28	The respondents further believe that these activities are degrading the lake water quality , shrinking its water volume and decreasing its fish population .	water volume	(107,119)	effect	wm/concept/causal_factor/environmental/natural_resources/water_bodies	0.8275608	wm/concept/causal_factor/environmental/natural_resources/water_bodies	0.9322416	None	0.5259281	wm/property/supply	None	Add "volume" to "supply" as an exemplar		
y	29	Natural disaster is also another cause in addition to emerging conflict , shootings , tribal conflicts , police conflicts , boarder conflicts and all that .	Natural disaster	(0,16)	cause	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/	0.99999946	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/	0.91432714	None	0.5410418	None	None			
y	29	Natural disaster is also another cause in addition to emerging conflict , shootings , tribal conflicts , police conflicts , boarder conflicts and all that .	emerging conflict	(54,71)	effect	wm/concept/causal_factor/social_and_political/conflict/	0.84609944	wm/concept/causal_factor/social_and_political/conflict/	1.0000001	wm/process/conflict/	1.0000001	None	None	Need property for "emerging"?		
	30	The expert attributed the increment to technical assistance provided to miners and legalization of the activities of gold miners, among others.	technical assistance	(39,59)	cause	wm/concept/causal_factor/interventions/institutional_support/support_to_veterinary_services	0.73725957	wm/concept/causal_factor/intervention/humanitarian assistance	0.7837395	wm/process/access/access	0.5246534	None	None	New node in interventions?		
y	30	The expert attributed the increment to technical assistance provided to miners and legalization of the activities of gold miners, among others.	the increment	(22,35)	effect	wm/concept/causal_factor/trend	0.52086043	None	None	None	None	wm/propert/trend	None	No clear compositional concept grounding		
	31	The Drought Tolerant Maize for Africa ( DTMA ) Project has contributed to a stronger food system in 13 countries in sub-Saharan Africa , through more than 200 improved maize varieties to help farmers cope with climate change and low-fertility soils through collaboration .	stronger food system in 13 countries in sub-Saharan Africa	(76,134)	effect	wm/concept/causal_factor/interventions/information_services/food_security_or_famine_early_warning_system	0.7813318	wm/concept/causal_factor/social_and_political/humanitarian/food	1.0000001	wm/process/management/	0.5494599	None	None	Vague entity		
	32	Affected population and affected GDP.	Affected population and affected GDP	(0,36)	cause	wm/concept/causal_factor/trend	0.7242768	wm/concept/causal_factor/indicator_and_reported_property/conflict/population displacement	0.81911075	wm/process/migration/displacement	0.526854	None	None	fragment		
	32	Affected population and affected GDP.	population	(9,19)	effect	wm/concept/causal_factor/social_and_political/population_group/population_density	0.9046255	wm/concept/causal_factor/indicator_and_reported_property/conflict/population displacement	0.81911075	wm/process/migration/displacement	0.526854	None	None	fragment		
y	33	and flood affected the little harvest is finished people are relying on market and wild .	flood	(4,9)	cause	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/flooding	0.9666712	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/flooding	0.9190833	None	None	None	None			
y	33	and flood affected the little harvest is finished people are relying on market and wild .	the little harvest	(19,37)	effect	wm/concept/time/temporal/crop_season	0.7068145	wm/concept/causal_factor/time/temporal/crop_season	0.7089591	wm/process/agriculture/harvesting	0.94100726	None	None	Add "little" to supply node as exemplar?		
	34	According to a study by researchers at the London School of Economics , cheap natural gas from fracking has boosted US manufacturing exports by around 10 percent .	cheap natural gas from fracking	(72,103)	cause	wm/concept/causal_factor/environmental/natural_resources/fossil_fuels	0.8396613	wm/concept/causal_factor/environmental/natural_resources/fossil_fuels	0.8422086	None	0.5165162	None	None	Add "cheap" as exemplar for "price"?		
y	34	According to a study by researchers at the London School of Economics , cheap natural gas from fracking has boosted US manufacturing exports by around 10 percent .	US manufacturing exports	(116,140)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/export/	0.85156715	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/export/	0.571996	wm/process/economic/export	0.8203816	None	None			
	35	Ethiopia, Kenya and the African Union all have troops in Somalia helping the government battle the militants.	troops in Somalia helping the government battle	(47,94)	cause	wm/concept/causal_factor/social_and_political/conflict/war	0.8055117	None	None	None	None	None	None	Ground to "troops"?		
y	35	Ethiopia, Kenya and the African Union all have troops in Somalia helping the government battle the militants.	the government	(73,87)	effect	wm/concept/causal_factor/social_and_political/government/	1.0000002	wm/concept/causal_factor/social_and_political/government/	1.0000002	None	0.6576553	None	None			
	36	Implementing Partners Nutrition, Local Food Procurement, and	Implementing Partners Nutrition, Local Food Procurement	(0,55)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_training	0.8006737	wm/concept/causal_factor/social_and_political/government/regulation	0.590361	wm/process/management/	0.57508826	None	None	fragment		
	36	Implementing Partners Nutrition, Local Food Procurement, and	Partners Nutrition, Local Food Procurement	(13,55)	effect	wm/concept/causal_factor/food_security/food_availability	0.8183977	wm/concept/causal_factor/intervention/provision of goods and services/nutrition/	0.99999994	None	None	None	None	fragment		
y	37	Since anti-government protests began in November 2015 , the protests were snowballing , practically forcing the regime to struggle for control .	protests	(22,30)	cause	wm/concept/causal_factor/social_and_political/conflict/demonstrate	0.7964454	wm/concept/causal_factor/social_and_political/conflict/demonstrate	0.79567367	None	None	None	None			
y	37	Since anti-government protests began in November 2015 , the protests were snowballing , practically forcing the regime to struggle for control .	regime	(112,118)	effect	wm/concept/causal_factor/social_and_political/government/	0.7034188	wm/concept/causal_factor/social_and_political/government/	0.7105078	None	None	None	None			
y	38	`` This change in policy is a result of our work with the Ethiopian government , which was focused on enabling these refugees to live outside the camp settings .	Ethiopian government	(58,78)	cause	wm/concept/causal_factor/social_and_political/government/	0.7359374	wm/concept/causal_factor/social_and_political/government/	1.0000002	None	0.6576553	None	None			
	38	`` This change in policy is a result of our work with the Ethiopian government , which was focused on enabling these refugees to live outside the camp settings .	refugees to live	(117,133)	effect	wm/concept/causal_factor/health_and_life/living_condition/	0.7738412	wm/concept/causal_factor/condition/living_condition/	1.0000001	None	None	None	None	weird entity		
y	39	Relative to having no program benefits, having the PSNP and OFSP/HABP increases food security by 1.505 months; for households receiving the PSNP, the OFSP/HABP provides an increase in food security of 0.818 months.	having the PSNP and OFSP/HABP increases food security by 1.505 months;	(40,110)	cause	wm/concept/causal_factor/food_security/	0.85565346	wm/concept/causal_factor/entity/food	0.5221389	None	0.5876865	wm/property/security	None			
y	39	Relative to having no program benefits, having the PSNP and OFSP/HABP increases food security by 1.505 months; for households receiving the PSNP, the OFSP/HABP provides an increase in food security of 0.818 months.	food security	(80,93)	effect	wm/concept/causal_factor/food_security/	1.0000006	wm/concept/causal_factor/entity/food	1.0000002	None	0.53205436	wm/property/security	1.0			
	40	By contrast, in Costa Rica, prices of red and black beans declined mainly reflecting improved market supplies as a result of imports.	of imports	(122,132)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	1.0	wm/concept/causal_factor/economic_and_commerce/economic_activity/goods	0.53268915	wm/process/economic/export	0.78688836	None	None	"imports" entity vs event?		
	40	By contrast, in Costa Rica, prices of red and black beans declined mainly reflecting improved market supplies as a result of imports.	mainly reflecting improved market supplies as a result of imports.	(67,133)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/food_demand	0.78619	None	None	None	None	None	None	weird entity		
y	41	The declining trend in cattle number per household in the present study and its significant correlation with variation in the long and short rains in the preceding year, suggest that reduction in the rainfall amount and widening rainfall variation drive the downward trend in cattle number in southern Ethiopia.	reduction	(183,192)	cause	wm/concept/causal_factor/trend	0.6565932	None	None	None	0.54081583	wm/property/trend	None	allow nmod_in for modifiers?		
