 	UUID	SUBJ_GROUNDING	SUBJ_GROUNDING_SCORE	SUBJ_TEXT	SUBJ_INTERVENTION	SUBJ_MENTION_INCORRECT	SUBJ_GROUNDING_CORRECT	9	OBJ_GROUNDING	OBJ_GROUNDING_SCORE	OBJ_TEXT	OBJ_INTERVENTION	OBJ_MENTION_INCORRECT	OBJ_GROUNDING_CORRECT	CORRECT_OBJ_GROUNDING	CURATOR	READER	TEXT
198	57302e44-ca92-4925-885c-34be6241cf0e	social_and_political/conflict/hostility	0.799	Conflict -related sexual	0				crisis_and_disaster/economic/economic_crisis	0.843	a serious concern	0					hume	Conflict-related sexual violence is a serious concern.
218	d5df745f-80e3-4b70-9523-37c05a542d51	social_and_political/conflict	0.828	conflict	0				health_and_life/basic_needs	0.761	Most recently, there has been reports of population movement in Wau	0					eidos	Most recently , there has been reports of population movement in Wau due to conflict between pastoralists and farmers which led to the displacement of unarmed civilians to rural areas of Umbili and Kuarjina .
223	f0110d3d-08c8-4a35-a62c-c25ffe7de2b1	interventions/teaching,_training_and_public_awareness/training_of_community_sourced_emergency_or_temporary_teachers	0.792	Two emergency meetings organized by FAO in Rome on 25 July and 18 August	1				interventions/provision_of_goods_and_services/public_health_information_campaign	0.776	set the stage for today's African Union pledging conference, raising international awareness of the importance of not only providing food assistance but also supporting	1					eidos	Two emergency meetings organized by FAO in Rome on 25 July and 18 August helped set the stage for today 's African Union pledging conference , raising international awareness of the importance of not only providing food assistance but also supporting food producers and getting food production in the Horn back up and running as soon as possible .
229	e932fabb-694f-4c3f-8b59-4f6fd12f4a2f	economic_and_commerce/economic_activity/cross_border_trade/import	0.744	availability of imports from Burkina Faso, Mali, and Benin	0				economic_and_commerce/economic_activity/market/supply/food_supply	0.806	Staple food market supplies	0					eidos	Eastern basin ( Benin , Nigeria , Niger , and Chad ) : Staple food market supplies were average in May in the southwestern part of Niger due to the availability of imports from Burkina Faso , Mali , and Benin .
230	3597048f-824b-4a76-8b9a-15f212905c3a	interventions/provision_of_goods_and_services/human_rights_monitoring_investigation_and_reporting	0.707	Somaliland's track record of political stability and security	1				interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	0.722	Somaliland to become a secured destination for international business	1					eidos	Ethiopia 's Minister of Finance and Economic Development , Ato Sufian Ahmed , said in a statement that the Government appreciated Somaliland 's track record of ' political stability and security ' which will help Somaliland to become a ' secured destination for international business ' .
230	3597048f-824b-4a76-8b9a-15f212905c3a	interventions/provision_of_goods_and_services/human_rights_monitoring_investigation_and_reporting	0.707	Somaliland's track record of political stability and security	1				interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	0.722	Somaliland to become a secured destination for international business	1					eidos	Ethiopia 's Minister of Finance and Economic Development , Ato Sufian Ahmed , said in a statement that the Government appreciated Somaliland 's track record of ' political stability and security ' which will help Somaliland to become a ' secured destination for international business ' .
235	79f5e68d-424f-478c-a88c-1f9298710e73	crisis_and_disaster/economic/economic_crisis	0.799	country's severe economic crisis	0				economic_and_commerce/economic_activity/market/inflation	0.903	hyper-inflation	0					eidos	`` Unfortunately , the cholera epidemic has struck at a time when most Zimbabweans are unable to purchase salt and sugar , '' he said , referring to the country 's severe economic crisis that has caused hyper-inflation and the collapse of health systems .
244	53d14f45-c6c4-494d-bdfb-ede626ed0c84	economic_and_commerce/economic_activity/market/assets	0.725	LAND	0				social_and_political/government/regulation	0.717	regulatory framework governing rural land tenure and property rights (LTPR)	0					eidos	LAND will further deepen and broaden the policy , legal , and regulatory framework governing rural land tenure and property rights ( LTPR ) and expand its capacity-building support at all levels of government to ensure sustainability of past USAID investments .
248	ec9800da-539b-43d0-bb5a-c6a1b5716b1a	social_and_political/conflict/hostility	0.977	arrival of mainly Nuer ethnic, a major source of military and political support to former South Sudan vice president-Riek Machar rebellion, into impoverished and troubled region	0				social_and_political/threat/physical_insecurity	0.749	tension and security concerns	0					eidos	In particular , the arrival of mainly Nuer ethnic , a major source of military and political support to former South Sudan vice president-Riek Machar rebellion , into impoverished and troubled region has increased tension and security concerns among local communities .
250	a52e9349-968e-4dce-b249-54e99d1fc76e	interventions/provision_of_goods_and_services/provision_of_credit_and_training_for_income_generation	0.762	opportunities for all--especially for those most at risk	1				interventions/building_construction	0.73	build resilience	1					eidos	The Report makes the case that preventing shocks and promoting opportunities for all - - especially for those most at risk - - can effectively help reduce vulnerabilities and build resilience .
309	d9ad9885-fd45-47f5-8232-08ddb95e5b39	environmental/resource_management	0.728	control - Promotion of climate-smart and conservation agriculture techniques	0				environmental/resource_management	0.828	Promotion of climate-smart and conservation agriculture techniques	0					cwms	#NAME?
309	d9ad9885-fd45-47f5-8232-08ddb95e5b39	environmental/resource_management	0.728	control - Promotion of climate-smart and conservation agriculture techniques	0				environmental/resource_management	0.828	Promotion of climate-smart and conservation agriculture techniques	0					cwms	#NAME?
334	1035fe0c-533a-4343-9eae-5953f130096c	social_and_political/migration/human_migration	0.784	massive influx of refugees	0				access/water_access	0.788	considerable tension with the host communities over water, resources and land	0					eidos	The massive influx of refugees is also causing considerable tension with the host communities over water , resources and land .
346	41f60546-ea46-45d8-b2cb-d0c67232bec0	interventions/provision_of_goods_and_services/public_information_campaigns_on_explosive_hazards	0.795	main challenges that have emerged from experts and potential investors were the plethora of policies, laws and regulations	1				economic_and_commerce/economic_activity/market/assets	0.73	private sector investment	0					eidos	The main challenges that have emerged from experts and potential investors were the plethora of policies , laws and regulations which inhibit private sector investment and curb its enthusiasm .
349	ac9426f0-d8e9-44ca-8272-8cfe55aa81ba	economic_and_commerce/economic_activity/market/transaction/food_purchase	0.827	immediate sale	0				economic_and_commerce/economic_activity/market/price_or_cost	0.928	#NAME?	0					hume	Storage losses Sub-optimal pricing due to immediate sale after harvest
351	b62e620f-6daa-4463-802d-73f703b1c0f6	health_and_life/basic_needs	0.807	part, the Minister for Mineral and Energy, Prof Sospeter Muhongo said Tanzania will benefit from US new policy of increasing power in the African continent	0				economic_and_commerce/poverty	0.884	poverty	0					eidos	On his part , the Minister for Mineral and Energy , Prof Sospeter Muhongo said Tanzania will benefit from US new policy of increasing power in the African continent to reduce poverty .
353	4100d80f-05c3-459e-8420-0329df2c4461	interventions/provision_of_goods_and_services/public_health_information_campaign	0.794	1991 Mahagrapes, a marketing cooperative, was formed	1				economic_and_commerce/economic_activity/cross_border_trade/export/food_export	0.749	export of grapes produced by 16 cooperatives in Maharashtra State (Roy & Thorat	0					eidos	In 1991 Mahagrapes , a marketing cooperative , was formed to promote the export of grapes produced by 16 cooperatives in Maharashtra State ( Roy & Thorat , 2008 ) .
353	4100d80f-05c3-459e-8420-0329df2c4461	interventions/provision_of_goods_and_services/public_health_information_campaign	0.794	1991 Mahagrapes, a marketing cooperative, was formed	1				economic_and_commerce/economic_activity/cross_border_trade/export/food_export	0.749	export of grapes produced by 16 cooperatives in Maharashtra State (Roy & Thorat	0					eidos	In 1991 Mahagrapes , a marketing cooperative , was formed to promote the export of grapes produced by 16 cooperatives in Maharashtra State ( Roy & Thorat , 2008 ) .
367	d7a5425f-3dc6-4d36-aaf7-6215774f467b	crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.949	drought, up from an estimated 7.8 million in April	0				health_and_life/basic_needs	0.972	that 8.5 million people were in need of food aid	0					eidos	Ethiopia 's government and the United Nations announced in August that 8.5 million people were in need of food aid because of the drought , up from an estimated 7.8 million in April .
389	5918696b-23aa-4502-b461-6072a82cb5cb	interventions/construction_of_infrastructure	0.725	construction management consultant	1				interventions/provision_of_goods_and_services/cash_for_work	0.78	Organization to spend $734,000 of the project's $925,186 contingency budget	1					eidos	It would be `` particularly challenging '' to complete that project on budget due to errors in the initial cost estimations by the construction management consultant , which were forcing the Organization to spend $ 734,000 of the project 's $ 925,186 contingency budget .
392	e0b9d4af-2bcf-4394-bf58-b0171f6f339a	wm/concept/time/temporal/crop_season	0.709	performance of Meher season rain, humanitarian assistance (longer rounds than usual), fertilizer purchases on cash that forced farmers to sell grain, and the start of Belg season harvest	0				trend	0.892	factors for the stability and downward trends in prices	0					eidos	Generally , the performance of Meher season rain , humanitarian assistance ( longer rounds than usual ) , fertilizer purchases on cash that forced farmers to sell grain , and the start of Belg season harvest were contributing factors for the stability and downward trends in prices .
399	2c70c56d-923b-4210-a8f5-4781f1a3d2a8	interventions/provision_of_goods_and_services/free_food_distribution	0.733	effects of local food aid distributions	1				agriculture/crop_production	0.778	Sorghum price in Kadugli (South Kordofan)	0					eidos	Sorghum price in Kadugli ( South Kordofan ) , have been highly volatile and decreased unseasonably by 30 percent between July and August due to the effects of local food aid distributions .
407	ca1525b2-5f50-4803-b87e-a69742193193	health_and_life/basic_needs	0.764	rural-to-urban, unmoored and growing population of mainly young men and women without productive activities to occupy them is an urgent problem	0				social_and_political/conflict	1	serious concerns about instability and conflict	0					eidos	A rural-to-urban , unmoored and growing population of mainly young men and women without productive activities to occupy them is an urgent problem that raises serious concerns about instability and conflict .
415	cc0eaf90-18b7-4e5a-8a41-47dfa5935177	interventions/provision_of_goods_and_services/provision_of_credit_and_training_for_income_generation	0.707	indexs inadequacy to perfectly capture the individual losses of an insured farmer	1				interventions/provision_of_goods_and_services/clinical_management_of_sexual_violence	0.714	Basis risk	1					eidos	Basis risk arises due to an index ' s inadequacy to perfectly capture the individual losses of an insured farmer , which can be related to a number of factors .
429	b73f51d9-31ef-44f0-9939-9a38db3c4375	interventions/provision_of_goods_and_services/food_for_work	0.711	agency's immediate focus is increasing food aid and water trucking, and is also training community-based health workers to treat malnutrition, intervening	1				crisis_and_disaster/environmental_disasters/crop_failure	0.869	crops	0					eidos	The agency 's immediate focus is increasing food aid and water trucking , and is also training community-based health workers to treat malnutrition , intervening to save livestock and crops where possible , and supporting families that have lost their livestock and livelihoods with cash-for-work programs .
432	be0ded98-b18a-42ab-8312-ab9862785b1a	crisis_and_disaster/environmental_disasters/natural_disaster	1	natural disasters	0				interventions/provision_of_goods_and_services/infant_and_young_child_feeding_support	0.759	Children's 15th annual State of the World's Mothers report	1					eidos	Armed conflict , political instability and natural disasters played a key part in eroding the lifestyles and well-being of mothers and children in the world 's poorest countries , according to Save the Children 's 15th annual State of the World 's Mothers report .
454	56df0ab4-b0e9-4768-a288-50547d964a55	social_and_political/educational/education	0.75	students	0				social_and_political/educational/education	0.803	learn all subjects in English in secondary school, which highlights the importance of English language learning in Ethiopia, beginning at the primary level	0					eidos	This means that students are required to learn all subjects in English in secondary school , which highlights the importance of English language learning in Ethiopia , beginning at the primary level .
470	e67a1f64-3fc0-40e7-b1fb-e8db6b61caf0	interventions/peacekeeping_and_security/conflict_mediation_and_political_dialogue	0.788	Welcoming the progress made by Member States in deepening and consolidating the democratic culture and practice through the holding of periodic credible elections, the Council noted that in that way	1				social_and_political/conflict	1	conflicts	0					eidos	Welcoming the progress made by Member States in deepening and consolidating the democratic culture and practice through the holding of periodic credible elections , the Council noted that in that way they prevent conflicts and promote sustainable peace , security , stability and development in their countries .
475	b570f2e9-c414-4a87-b621-dbc06a2e0b7a	environmental/natural_resources	0.834	depletion of resources	0				access/water_access	0.772	increased competition and conflicts over pasture and water resources	0					eidos	In Borana , this is also leading to increased competition and conflicts over pasture and water resources .
476	6b8e2177-2050-4337-90aa-8989dec01bf4	interventions/provision_of_goods_and_services/provision_of_credit_and_training_for_income_generation	0.727	educated workforce, an adequate budget, the latest technology	1				social_and_political/government/regulation	0.733	legal frameworks	0					eidos	This calls for institutions to have an educated workforce , an adequate budget , the latest technology and enabling legal frameworks .
484	8e401d2a-6492-4bb1-8fe4-35add0b40712	interventions/institutional_support	0.78	funding to a technical support unit	1				interventions/provision_of_goods_and_services/public_health_information_campaign	0.791	people's awareness about health and nutrition program guidelines	1					eidos	DFID 's financial support to the Odisha government for the health and nutrition sector was substantial - 99 million UK pounds over an eight year period between 2008 and 2015 , The model of spending included direct budget support to the Odisha government as well as funding to a technical support unit that worked closely with the government ( Department for International Development , n.d ) Civil Society and NGOs in the state have also been credited with raising people 's awareness about health and nutrition program guidelines and for having conducted social audits of ICDS that have been helpful to the state .
490	cdcabab4-8c8d-4a4e-9931-6a9bc648f6dc	interventions/provision_of_goods_and_services/reporting_and_verification_of_child_rights_violations	0.796	problem of unavailability of any official document to indicate childrens birth date	1				interventions/provision_of_goods_and_services/child_friendly_learning_spaces	0.747	ages for the great majority of the sample children were determined using the local event calendar	1					eidos	Due to the problem of unavailability of any official document to indicate children ' s birth date , the ages for the great majority of the sample children were determined using the local event calendar .
494	908eb9c9-8e10-4c9e-aac8-8770de0c2489	interventions/provision_of_goods_and_services/communicable_disease_outbreak_control	0.801	other challengesincluding seasonal flooding, localized intercommunal conflict, above-average food prices, disease outbreaks, and limited access to health and WASH services	1				interventions/provision_of_goods_and_services/assessment_and_triage_of_health_facilities	0.713	ongoing complex emergency	1					eidos	In addition to drought , populations across Ethiopia confront other challenges -- including seasonal flooding , localized intercommunal conflict , above-average food prices , disease outbreaks , and limited access to health and WASH services -- that contribute to sustained humanitarian needs and an ongoing complex emergency .
497	908eb9c9-8e10-4c9e-aac8-8770de0c2489	interventions/provision_of_goods_and_services/communicable_disease_outbreak_control	0.801	other challengesincluding seasonal flooding, localized intercommunal conflict, above-average food prices, disease outbreaks, and limited access to health and WASH services	1				interventions/provision_of_goods_and_services/assessment_and_triage_of_health_facilities	0.713	ongoing complex emergency in Ethiopia	1					eidos	While drought remains a major contributor to vulnerability in Ethiopia , negatively affecting the lives and livelihoods of farmers and pastoralists , populations also continue to confront other challenges -- including seasonal flooding , localized intercommunal conflict , above-average food prices , disease outbreaks , and limited access to health and WASH services -- that contribute to sustained humanitarian needs and an ongoing complex emergency in Ethiopia .
499	0e741469-9902-4962-9e4d-16bab3e9c4ba	interventions/provision_of_goods_and_services/provision_of_credit_and_training_for_income_generation	0.841	Supporting female holders participation in commercial and economically valuable crops	1				interventions/provision_of_goods_and_services/cash_for_assets	0.826	cash earnings	1					eidos	Supporting female holders ' participation in commercial and economically valuable crops can increase their cash earnings and investment on productivityenhancing technologies and tools .
505	c53de2c4-cf80-47cd-b19b-92c38223ca78	social_and_political/conflict/war	0.855	allied militias	0				health_and_life/basic_needs	0.775	number of people, including a teacher in Beletweyne, Abdirahman Muhumed-Nur Abdulle, known	0					eidos	In the ensuing hours , Ethiopian troops and allied militias arrested a number of people , including a teacher in Beletweyne , Abdirahman Muhumed-Nur Abdulle , known as `` Matan .
510	b3ca29a3-e99f-419e-8da8-05ea3e39f90b	interventions/peacekeeping_and_security/conflict_mediation_and_political_dialogue	0.724	Special Envoys urged the Parties to fully cooperate with the MVM and abide by the Cessation of Hostilities Agreement, show their political will and commitment	1				social_and_political/conflict/war	0.974	war	0					eidos	The Special Envoys urged the Parties to fully cooperate with the MVM and abide by the Cessation of Hostilities Agreement , show their political will and commitment to end the war ; and facilitate and support the smooth operation of humanitarian assistance .
511	87f7eacf-9eef-4c27-84c8-4a5ea3cb2f08	economic_and_commerce/economic_activity/market/supply	1	ample supply	0				economic_and_commerce/economic_activity/cross_border_trade/export/food_export	0.775	Ģ International wheat prices	0					eidos	* International wheat prices fell in most markets due to ample supply and favorable prospects for the 2017 harvest , despite concerns of less than ideal weather conditions for some major producers in the northern hemisphere .
512	40afc7a8-78ad-4bf8-8bf0-33217dc0da0f	interventions/provision_of_goods_and_services/provision_of_non_formal_education	0.702	IGAD's consultations with the African Union and United Nations implies that the region has	1				interventions/peacekeeping_and_security/conflict_mediation_and_political_dialogue	0.799	way for a concerted effort to bring forward the dialogue	1					eidos	IGAD 's consultations with the African Union and United Nations implies that the region has to lead the way for a concerted effort to bring forward the dialogue to solve South Sudan 's problem .
532	6b0e80f0-a60b-4652-849d-d65dc4ce7fd9	crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.909	multiple severe natural shocks, including insufficient rainfall, flooding, and a crop pest outbreak	0				wm/concept/time/temporal/crop_season	0.709	severe harvest failure	0					eidos	Against a backdrop of livelihoods erosion due to armed conflict , multiple severe natural shocks , including insufficient rainfall , flooding , and a crop pest outbreak , caused severe harvest failure over a wide geographic area , affecting the ability of local communities to utilize social and kinship support networks .
550	d2b25341-3ce4-4a9f-8c89-a5595d4e1c5a	interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.739	leaders of the world's industrial powers	1				crisis_and_disaster/famine	0.792	fight hunger and malnutrition for up to a billion people struggling with shortages, droughts and rising food prices	0					eidos	WASHINGTON , May 18 ( Reuters ) - Buffeted by the euro zone crisis and distracted by political problems at home , the leaders of the world 's industrial powers turned to the private sector on Friday to help fight hunger and malnutrition for up to a billion people struggling with shortages , droughts and rising food prices .
550	d2b25341-3ce4-4a9f-8c89-a5595d4e1c5a	interventions/institutional_support/capacity_building_of_national_authorities_on_human_rights	0.739	leaders of the world's industrial powers	1				crisis_and_disaster/famine	0.792	fight hunger and malnutrition for up to a billion people struggling with shortages, droughts and rising food prices	0					eidos	WASHINGTON , May 18 ( Reuters ) - Buffeted by the euro zone crisis and distracted by political problems at home , the leaders of the world 's industrial powers turned to the private sector on Friday to help fight hunger and malnutrition for up to a billion people struggling with shortages , droughts and rising food prices .
578	f23d85cf-3be2-4eb8-967c-9e54815e54e9	economic_and_commerce/economic_activity/livelihood	0.739	livelihood and economic hard-work of the Ethiopian people	0				food_security	0.829	support health and other economic activities, particularly agriculture and most recently food security here in Ethiopia	0					eidos	`` The Prime Minister devoted his entire life to improving the livelihood and economic hard-work of the Ethiopian people and in that the American government has been a strong partner working through our agency for international development to support education , to support health and other economic activities , particularly agriculture and most recently food security here in Ethiopia .
580	ee019f8e-b068-4e90-8095-4a8c8e287e7d	interventions/provision_of_goods_and_services/provision_of_non_formal_education	0.76	President Isma?l Omar Guelleh (IOG) needs an Ethiopian umbrella in various sectors, including that of guaranteeing his immunity when he is no longer in power	1				trend	0.774	trend	0					eidos	So far this trend has been latent but is now coming into the fore , because President Isma i l Omar Guelleh ( IOG ) needs an Ethiopian umbrella in various sectors , including that of guaranteeing his immunity when he is no longer in power .
589	fe61da67-ff60-4fdd-a052-7e5f8c17d141	agriculture/livestock_production	0.885	Ethiopias livestock	0				food_security	0.845	food security	0					eidos	While Ethiopia ' s livestock and fisheries have great potential for growth and job creation and could significantly contribute to poverty reduction and food security , their contributions continue to be undermined by key challenges such as limited adoption of improved practices , poor provision of support services , as well as scarce marketing and processing facilities , the Bank said .
590	03fd9c09-c5da-41aa-9293-b02898c945c8	trend	0.799	weak global growth	0				health_and_life/basic_needs	0.717	benefit	0					hume	#NAME?
590	03fd9c09-c5da-41aa-9293-b02898c945c8	trend	0.799	weak global growth	0				health_and_life/basic_needs	0.717	benefit	0					hume	#NAME?
591	e3fdd6a2-5618-4cc0-b2e8-90742265d135	health_and_life/basic_needs	0.746	Even though Ethiopia and Germany have almost the same population size today, Ethiopia is projected to more	0				social_and_political/population_group/population_density	0.775	population	0					eidos	Even though Ethiopia and Germany have almost the same population size today , Ethiopia is projected to more than double its population from 85 million today to 174 million in 2050 .
624	825aa638-6748-4dcc-a303-6b757b515076	food_security/food_access	0.787	declining food access	0				interventions/provision_of_goods_and_services/household_relief_non_food_item_package	0.799	large number of households are compromising the culturally accepted standard on quality of food	1					eidos	The highest rates of affirmative responses were generated for items 2 and 3 of the HFIAS scale ( 70?9 % and 72?9 % , respectively ) , suggesting that a large number of households are compromising the culturally accepted ' standard ' on quality of food due to declining food access .
626	3add0441-0391-4f64-a223-10bb03280b7d	health_and_life/basic_needs	0.841	what can and needs to be done	0				health_and_life/nutrition/food_diversity	0.724	countrys nutritional status	0					eidos	The experience of the seven countries covered in the report shows what can and needs to be done to substantially improve a country ' s nutritional status .
642	e01d6ed9-ad5e-4be9-b1ad-a09edbe740db	interventions/building_construction/creation_of_temporary_water_points	0.739	Egypt has long opposed the construction of Africa's biggest hydroelectric power plant project arguing	1				environmental/natural_resources/water_bodies	0.745	rivers water supply	0					eidos	Egypt has long opposed the construction of Africa 's biggest hydroelectric power plant project arguing that it could diminish the rivers water supply to its territory .
645	ae9fda8c-0f9a-451c-81b2-2c0ad5bbfda0	agriculture/crop_production	0.746	total quantity of the major vegetable crops	0				food_security/food_utilization	0.748	33,504kgs and per capita vegetable production was 17.2kg	0					eidos	The total quantity of the major vegetable crops produced was 33,504 kgs and per capita vegetable production was 17.2kg .
656	336ae402-91f4-44fa-9b62-9a96b17b8f88	interventions/provision_of_goods_and_services/provision_of_credit_and_training_for_income_generation	0.773	example, a clearly defined and secured land tenure system is a key institution	1				interventions/provision_of_goods_and_services/provision_of_farm_tools	0.755	incentives for farmers to adopt improved technologies and to protect natural resources	1					eidos	For example , a clearly defined and secured land tenure system is a key institution that promotes incentives for farmers to adopt improved technologies and to protect natural resources .
682	bfc0ec9d-40f4-4df6-a6bc-f393aee1d776	interventions/peacekeeping_and_security/community_level_conflict_resolution	0.818	broader issues, including the proper implementation of federalism and the capitals relationship with the Oromo community	1				social_and_political/conflict/demonstrate	0.796	protests	0					eidos	" However , beyond the issue of the proposed master plan , the protests are caused by broader issues , including the proper implementation of federalism and the capital ' s relationship with the Oromo community that surrounds it .
683	2a38aa86-1491-40bd-8ee0-cd7b0ad5a142	economic_and_commerce/economic_activity/competition	0.702	Lifan's biggest challenge in its Africa expansion	0				economic_and_commerce/economic_activity/development	0.989	development	0					eidos	Yet Lifan 's biggest challenge in its Africa expansion will be to improve its research and development , Yin said .
684	7369c033-cb5a-494e-8a1a-8017e81a1ffe	health_and_life/basic_needs	0.769	create more jobs, said Ambassador Chantal Hebberecht, head of EU to Ethiopia	0				economic_and_commerce/economic_activity/livelihood	0.856	livelihood of farmers in drought-affected areas, including central and northern Ethiopia	0					eidos	Improving the livelihood of farmers in drought-affected areas , including central and northern Ethiopia , and create more jobs , " said Ambassador Chantal Hebberecht , head of EU to Ethiopia .
684	7369c033-cb5a-494e-8a1a-8017e81a1ffe	health_and_life/basic_needs	0.769	create more jobs, said Ambassador Chantal Hebberecht, head of EU to Ethiopia	0				economic_and_commerce/economic_activity/livelihood	0.856	livelihood of farmers in drought-affected areas, including central and northern Ethiopia	0					eidos	Improving the livelihood of farmers in drought-affected areas , including central and northern Ethiopia , and create more jobs , " said Ambassador Chantal Hebberecht , head of EU to Ethiopia .
685	9fcf1d19-c729-4f1f-981f-db7b570b3658	environmental/meteorologic/precipitation/rainfall	0.885	rainfall	0				environmental/meteorologic/weather	0.749	alleviate seasonal moisture deficits, rainfall in many areas	0					eidos	While the increase in rainfall during early August helped to alleviate seasonal moisture deficits , rainfall in many areas remains moderately below-average in terms of both quantity and frequency , which may negatively impacted ongoing cropping activities .
710	f8d85a15-b117-46b6-b33f-c8ec9e8bb641	social_and_political/conflict/hostility	0.901	On-going conflict in Somalia, terror attacks and ethnic violence in parts of Kenya as well as threats	0				interventions/peacekeeping_and_security/community_level_conflict_resolution	0.793	humanitarian access to refugees and communities affected by the crisis	1					eidos	On-going conflict in Somalia , terror attacks and ethnic violence in parts of Kenya as well as threats against aid workers are limiting humanitarian access to refugees and communities affected by the crisis .
